Date,Open,High,Low ,Close,Volume
10-Mar-16,1043.7,1045,1009,1012,354839
09-Mar-16,1019,1044,1017.35,1041.95,367791
08-Mar-16,1006,1031,1006,1027.15,424354
04-Mar-16,1017,1018,1003.75,1006.5,2911912
03-Mar-16,1007.25,1017.25,997.55,1012.55,340650
02-Mar-16,992.5,1005.25,987.5,1001.2,529739
01-Mar-16,967.5,985,965,982.25,311829
29-Feb-16,951.1,993,936.3,966.55,999988
26-Feb-16,950,958.5,944.95,950.5,225109
25-Feb-16,957,957,941.7,944.4,332961
24-Feb-16,946.3,959,942.55,952.55,1457649
23-Feb-16,964,966.9,943.05,950.7,1794728
22-Feb-16,945.9,967.9,945.05,962.45,218870
19-Feb-16,941.15,952.45,937.8,944.55,186168
18-Feb-16,962,967.75,936.3,941.15,243498
17-Feb-16,933.4,956,917.1,952.45,365447
16-Feb-16,952.8,958,927,929.65,307379
15-Feb-16,921,949.95,920,944.65,288882
12-Feb-16,931.05,933,888.5,906.3,681300
11-Feb-16,963,966,916.25,922.45,563005
10-Feb-16,951.25,972.9,948.95,962.4,495104
09-Feb-16,951.1,968.5,950.35,956.6,359167
08-Feb-16,971.9,984.25,957.7,961.6,311940
05-Feb-16,976.3,982,963,972.3,329859
04-Feb-16,990,1000,968,973.95,305249
03-Feb-16,988.1,993.2,975,980.7,344712
02-Feb-16,1031,1032,990.3,1002,367070
01-Feb-16,1040,1041,1025.15,1028.1,216574
29-Jan-16,1020,1039.4,1018.85,1035.05,280811
28-Jan-16,1000,1021.75,997.75,1016.9,279598
27-Jan-16,1007.95,1009.7,996.15,999.35,213280
25-Jan-16,1008.2,1018.4,1000.15,1004.8,276184
22-Jan-16,995,1010.15,994.75,1003.95,344318
21-Jan-16,1016.3,1025.7,978.15,984.9,921299
20-Jan-16,1040.5,1040.5,990.5,1004.35,1181912
19-Jan-16,1025,1049,1015.2,1043.6,539474
18-Jan-16,1073.05,1082.45,1010.1,1018,577065
15-Jan-16,1070,1089.5,1066,1073.15,806191
14-Jan-16,1062.1,1081,1052.4,1061.2,590916
13-Jan-16,1054.8,1087.4,1019.35,1077.35,1418406
12-Jan-16,1054,1065,1041.05,1045.1,451258
11-Jan-16,1011,1059.95,1011,1051.55,861434
08-Jan-16,1019,1032.15,1000.05,1024.05,7008317
07-Jan-16,1023.8,1027.6,1008.25,1011.55,374543
06-Jan-16,1005,1038,1000.55,1031.95,949981
05-Jan-16,1002,1010,996.85,1005.1,294671
04-Jan-16,1006,1014.2,987.3,995.4,273627
01-Jan-16,1010,1020,1008.75,1015.35,328595
31-Dec-15,1004,1017,1000,1012.6,241436
30-Dec-15,1015.7,1017,1002.1,1004.85,103873
29-Dec-15,1013,1018.5,1007.5,1015.15,248983
28-Dec-15,1004,1013.55,1001,1008.55,291670
24-Dec-15,1005.5,1008,996.1,1000.9,146409
23-Dec-15,993.4,1006,990.9,1003.55,227045
22-Dec-15,991.1,1002.5,984,987.5,263406
21-Dec-15,988.55,998.2,985,992.25,267805
18-Dec-15,1003,1009,990.15,992.05,252773
17-Dec-15,980.25,1013.25,978,1008.35,574220
16-Dec-15,973.4,986.9,973.4,978,187540
